customer_id,region,channel,signup_date,event_date,spend,sessions,support_tickets,clicked_offer,churned
C001,North,web,2025-01-05,2026-01-03,129.50,12,1,1,0
C002,South,mobile,2025-02-14,2026-01-12,84.00,8,2,0,1
C003,West,store,2025-03-01,2026-01-22,212.30,17,0,1,0
C004,East,web,2025-03-18,2026-02-02,45.20,3,3,0,1
C005,North,mobile,2025-04-09,2026-02-11,168.75,14,1,1,1
C006,South,store,2025-04-21,2026-02-19,76.40,6,2,0,1
C007,West,web,2025-05-10,2026-03-01,193.10,16,0,1,0
C008,East,mobile,2025-05-25,2026-03-13,58.90,5,4,0,1
C009,North,store,2025-06-03,2026-03-27,241.00,20,1,1,0
C010,South,web,2025-06-18,2026-04-04,99.25,9,2,0,1
C011,West,mobile,2025-07-02,2026-04-17,185.60,15,1,1,1
C012,East,store,2025-07-19,2026-04-28,63.30,4,3,0,0
C013,North,web,2025-08-01,2026-05-06,205.45,18,0,1,0
C014,South,mobile,2025-08-20,2026-05-18,71.80,7,3,0,1
C015,West,store,2025-09-05,2026-05-29,224.90,19,0,1,0
C016,East,web,2025-09-22,2026-06-03,52.60,4,4,0,1
C017,North,mobile,2025-10-08,2026-06-08,176.20,13,1,1,0
C018,South,store,2025-10-25,2026-06-12,88.10,8,2,0,0
C019,West,web,2025-11-10,2026-06-17,199.95,16,0,1,0
C020,East,mobile,2025-11-27,2026-06-20,67.45,6,3,0,0
