customer_id,region,channel,signup_date,event_date,spend,sessions,support_tickets,clicked_offer,churned
P001,North,web,2025-01-04,2026-01-10,142.40,11,1,1,0
P002,North,app,2025-02-12,2026-01-19,96.75,7,2,0,1
P003,South,web,2025-03-03,2026-02-05,188.20,14,1,1,0
P004,South,store,2025-03-21,2026-02-18,74.30,5,3,0,1
P005,East,app,2025-04-06,2026-03-08,121.90,10,2,1,0
P006,East,web,2025-04-29,2026-03-22,59.60,4,4,0,1
P007,West,store,2025-05-11,2026-04-02,230.15,18,0,1,0
P008,West,app,2025-06-17,2026-04-20,172.80,13,1,1,0
P009,North,store,2025-07-01,2026-05-03,83.10,6,3,0,1
P010,South,app,2025-08-14,2026-05-28,139.95,12,1,1,0
P011,East,store,2025-09-09,2026-06-06,68.40,5,2,0,1
P012,West,web,2025-10-20,2026-06-18,201.25,16,0,1,0
